sasdate,GDPC1,PCECC96,PCDGx,PCESVx,PCNDx,GPDIC1,FPIx,Y033RC1Q027SBEAx,PNFIx,PRFIx,A014RE1Q156NBEA,GCEC1,A823RL1Q225SBEA,FGRECPTx,SLCEx,EXPGSC1,IMPGSC1,DPIC96,OUTNFB,OUTBS,OUTMS,INDPRO,IPFINAL,IPCONGD,IPMAT,IPDMAT,IPNMAT,IPDCONGD,IPB51110SQ,IPNCONGD,IPBUSEQ,IPB51220SQ,TCU,CUMFNS,PAYEMS,USPRIV,MANEMP,SRVPRD,USGOOD,DMANEMP,NDMANEMP,USCONS,USEHS,USFIRE,USINFO,USPBS,USLAH,USSERV,USMINE,USTPU,USGOVT,USTRADE,USWTRADE,CES9091000001,CES9092000001,CES9093000001,CE16OV,CIVPART,UNRATE,UNRATESTx,UNRATELTx,LNS14000012,LNS14000025,LNS14000026,UEMPLT5,UEMP5TO14,UEMP15T26,UEMP27OV,LNS13023621,LNS13023557,LNS13023705,LNS13023569,LNS12032194,HOABS,HOAMS,HOANBS,AWHMAN,AWHNONAG,AWOTMAN,HWIx,HOUST,HOUST5F,PERMIT,HOUSTMW,HOUSTNE,HOUSTS,HOUSTW,CMRMTSPLx,RSAFSx,AMDMNOx,ACOGNOx,AMDMUOx,ANDENOx,INVCQRMTSPL,PCECTPI,PCEPILFE,GDPCTPI,GPDICTPI,IPDBS,DGDSRG3Q086SBEA,DDURRG3Q086SBEA,DSERRG3Q086SBEA,DNDGRG3Q086SBEA,DHCERG3Q086SBEA,DMOTRG3Q086SBEA,DFDHRG3Q086SBEA,DREQRG3Q086SBEA,DODGRG3Q086SBEA,DFXARG3Q086SBEA,DCLORG3Q086SBEA,DGOERG3Q086SBEA,DONGRG3Q086SBEA,DHUTRG3Q086SBEA,DHLCRG3Q086SBEA,DTRSRG3Q086SBEA,DRCARG3Q086SBEA,DFSARG3Q086SBEA,DIFSRG3Q086SBEA,DOTSRG3Q086SBEA,CPIAUCSL,CPILFESL,WPSFD49207,PPIACO,WPSFD49502,WPSFD4111,PPIIDC,WPSID61,WPU0531,WPU0561,OILPRICEx,AHETPIx,CES2000000008x,CES3000000008x,COMPRMS,COMPRNFB,RCPHBS,OPHMFG,OPHNFB,OPHPBS,ULCBS,ULCMFG,ULCNFB,UNLPNBS,FEDFUNDS,TB3MS,TB6MS,GS1,GS10,MORTGAGE30US,AAA,BAA,BAA10YM,MORTG10YRx,TB6M3Mx,GS1TB3Mx,GS10TB3Mx,CPF3MTB3Mx,BOGMBASEREALx,M1REAL,M2REAL,BUSLOANSx,CONSUMERx,NONREVSLx,REALLNx,REVOLSLx,TOTALSLx,DRIWCIL,TABSHNOx,TLBSHNOx,LIABPIx,TNWBSHNOx,NWPIx,TARESAx,HNOREMQ027Sx,TFAABSHNOx,VIXCLSx,USSTHPI,SPCS10RSA,SPCS20RSA,TWEXAFEGSMTHx,EXUSEU,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,UMCSENTx,USEPUINDXM,B020RE1Q156NBEA,B021RE1Q156NBEA,GFDEGDQ188S,GFDEBTNx,IPMANSICS,IPB51222S,IPFUELS,UEMPMEAN,CES0600000007,TOTRESNS,NONBORRES,GS5,TB3SMFFM,T5YFFM,AAAFFM,WPSID62,PPICMM,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,CES0600000008,DTCOLNVHFNM,DTCTHFNM,INVEST,HWIURATIOx,CLAIMSx,BUSINVx,ISRATIOx,CONSPIx,CP3M,COMPAPFF,PERMITNE,PERMITMW,PERMITS,PERMITW,NIKKEI225,NASDAQCOM,CUSR0000SEHC,TLBSNNCBx,TLBSNNCBBDIx,TTAABSNNCBx,TNWMVBSNNCBx,TNWMVBSNNCBBDIx,TLBSNNBx,TLBSNNBBDIx,TABSNNBx,TNWBSNNBx,TNWBSNNBBDIx,CNCFx,S&P 500,S&P div yield,S&P PE ratio
9/1/1976,6404.895,4067.757,185.1414,2925.0553,1114.3225,765.742,740.3775,137.4072,416.1875,412.8314,1.1,1711.14,0.6,1109.1245,1069.3158,285.137,325.3,4711.731,28.66,28.616,,44.374,45.2252,62.1222,41.0601,23.7605,75.2907,43.281,38.6758,70.8067,20.2025,57.3427,80.043,78.7681,79714.3333,64724,17595,57658.3333,22056,10713.3333,6881.6667,3631,5790,4166.3333,2118.6667,6340.6667,5823.3333,2256.6667,830,16172.3333,14990.3333,9013.1,3901.0667,2854.6667,3290.6667,8845,89163,61.7333,7.7333,6.435132089,1.288109213,18.8333,5.9,7.5667,2922.6667,2277.6667,1085.3333,1244.6667,3691.6667,1967.3333,972,889.6667,3569.6667,60.992,,59.461,40.2333,36.0667,3.1333,2973,1557,294,1345,413.6667,153.6667,585.6667,404,488131.6967,,171484.9687,,546762.5528,49453.1273,727840.847,28.492,28.727,29.459,42.897,34.004,48.127,91.738,20.798,34.156,19.743,44.813,85.072,406.375,51.414,30.951,84.864,21.018,27.735,19.703,14.342,25.963,24.394,21.589,22.083,22.321,57.3,57.9,60.9,61.6,60.4,68.9667,58.8667,61.4333,75.18420946,120.7949912,,17.76479656,25.15644966,17.95038917,,68.269,67.718,,48.2,46.918,36.954,,36.265,29.406,5.2833,5.15,5.41,6.0133,7.73,8.97,8.4633,9.62,1.89,1.24,0.26,0.86,2.58,,201.691,521.1,1917.2667,626.7167,388.128,699.2847,500.2576,55.5058,754.7905,,25002.96,2879.427,61.11187205,22123.53,469.5414146,18644.6131,6358342.33,16399.71,15.4805,231.7,,,,,2.4799,290.876,1.765,0.9776,89.7,,8,8.3,33.64333,2227646.4,42.4087,55.1558,64.5768,15.5,39.8,34.1,34,7.31,-0.1333,2.0267,3.18,63.9333,77.5333,75.7333,55.5,52.6333,61,61.4667,52.4333,56.3333,59.6,57.5,5.5467,11837.6667,33054.6667,214.1357,0.3984,395600,301143.2913,1.5497,0.1323,,,157.6667,335.3333,417.3333,434.6667,4732.948,91.2356,,4.53,0.0112,6.75,4934.23,1220.61,1103673.1,273021.77,4750123.51,3645.1,901.71,404.2436,104.3333,3.6615,12.0333
12/1/1976,6451.177,4120.536,188.0748,2965.1888,1126.0643,771.471,775.5251,141.272,424.233,462.8039,0.5,1710.087,0.9,1110.1001,1066.1399,288.03,336.15,4741.624,28.897,28.859,,45.1788,46.3462,63.6202,41.5581,23.9064,76.1658,45.2031,41.2867,71.9013,20.8653,60.5511,80.9266,79.3828,80199.6667,65141,17649.6667,58031.3333,22168.3333,10740,6909.6667,3670.3333,5843.3333,4213.6667,2128,6395.6667,5862.6667,2277.6667,848.3333,16251.6667,15058.6667,9062.6667,3922.2333,2855.6667,3342,8861,89570.3333,61.7667,7.7667,6.437184817,1.319127625,19.1,6,7.4333,2897.3333,2346,1059.3333,1281,3678,1994.6667,906,952.3333,3759,61.13,,59.78,40,35.9,3.1667,3088,1691.3333,343.3333,1489,411.3333,179,604.6667,496.3333,493467.6423,,176224.8478,,549864.2093,49142.1141,736016.104,28.942,29.1767,29.96,43.55,34.608,48.811,93.29,21.157,34.599,20.081,46.084,85.676,410,52.169,31.237,85.644,21.58,28.15,20.156,14.623,26.345,24.708,21.883,22.392,22.514,58.1333,58.7,61.9,62.1333,61.4,69.1333,59.8667,62.4,95.96818012,123.7310491,,17.82236246,25.18018516,17.97071353,,68.723,68.35,,48.339,47.209,37.609,,36.93,29.948,4.8733,4.6733,4.8167,5.2267,7.19,8.84,8.1833,9.2133,2.0233,1.65,0.14,0.55,2.52,,203.663,522.8,1958.2,630.1631,393.3272,707.6847,504.8102,57.0592,764.744,,25291.18,2931.543,61.82571729,22359.64,471.5608299,18847.4465,6443738,16574.71,17.1461,230.53,,,,,2.4459,293.6853,1.6514,0.9923,87,,8.1,8.4,33.78753,2258112.8,43.0649,59.9212,65.5147,15.2,39.7,34.7333,34.6667,6.4567,-0.2,1.5833,3.31,63.6333,77.9667,76.5,56.9667,53.7667,61.7667,62.3,53.4,57.3,60.5667,58.3333,5.6467,12520,33977.3333,221.8662,0.41,390750,308173.5834,1.5531,0.1328,,,166.3333,360.3333,444,518.3333,4669.205,91.2741,,4.51,0.0112,6.81,5145.56,1275.09,1108778.32,274759.24,4801667.24,3691.55,914.78,403.5454,102.6,3.8826,11.2719
3/1/1977,6527.703,4169.104,195.1585,3001.6403,1125.3037,807.213,802.2361,150.3418,439.6855,476.5397,0.7,1724.629,2.8,1140.8403,1076.7173,283.395,351.879,4752.281,29.39,29.324,,46.0891,47.4907,64.8098,42.3361,24.4417,78.3576,47.0289,43.5895,72.5663,21.8315,60.9825,81.9391,80.697,81023,65969,17862.3333,58533,22490,10896.3333,6966,3764.6667,5915.6667,4264,2151,6472.3333,5936.6667,2306,863,16433.3333,15054,9172.8667,3955.1667,2852,3341.3333,8860.6667,90359.3333,61.8333,7.5,6.29488476,1.221140437,18.6333,5.7333,7.2667,2967.3333,2219.6667,950.6667,1193,3418.3333,2010.6667,930,962,3686.3333,61.738,,60.412,39.9667,35.8333,3.3,3331,1844.3333,358,1562,397,167.6667,709,570.6667,507947.033,,181459.082,,549807.5576,48893.1621,742514.434,29.465,29.6677,30.443,44.434,35.125,49.583,94.247,21.582,35.232,20.475,46.513,86.735,413.569,52.746,31.802,86.891,22.169,28.608,20.691,14.924,26.828,24.994,22.244,22.579,22.883,59.2,59.6667,63.1333,63.4667,62.7667,71.4333,60.8667,63.4,92.89192148,123.5869684,,17.84206118,25.12314765,18.10056013,,68.763,68.381,,48.65,47.497,38.083,,37.389,30.446,4.66,4.63,4.87,5.42,7.3533,8.69,8.0333,9.1067,1.7533,1.34,0.24,0.79,2.72,,200.577,525.7333,1988.3,631.8283,401.4205,667.8116,511.1947,103.6097,771.4213,,25298.45,2939.586,61.85631852,22358.86,470.4869096,18727.6503,6570795.83,16433.34,14.4047,234.33,,,,,2.5213,285.4337,1.7134,1.0298,87.1,,7.8,8.9,33.65136,2271192.9,44.1363,58.5396,68.6906,14.8,39.6,34.8667,34.8,6.78,-0.03,2.12,3.3733,65.5333,79.4,77.4333,58.2333,55,62.8333,63.4,54.4333,58.3,61.7,59.4,5.77,11912.6667,33796,228.2255,0.4537,404267,315801.3691,1.5152,0.1247,,,162.6667,356.6667,493,549.6667,5014.4038,96.2175,,4.56,0.0111,6.91,5204.48,1270.63,1128515.3,275518.35,4866804.27,3736.98,912.35,409.5972,101.8,4.0713,10.5833
6/1/1977,6654.466,4191.711,199.7561,3012.6494,1125.2132,865.083,843.9513,154.1708,451.8403,528.8042,0.9,1740.413,5.2,1168.2361,1083.2914,291.032,355.215,4796.947,30.07,30.028,,47.5397,48.7467,65.7969,43.7488,25.5073,80.7265,48.9457,44.7799,72.8465,23.0338,58.7035,83.8333,82.8391,82101.3333,66963.3333,18107.6667,59177.3333,22924,11075,7032.6667,3932,5993.3333,4318.3333,2176,6556.3333,6020.6667,2336.6667,884.3333,16638,15138,9302.4667,3998.4,2856,3374.6667,8907.3333,91661.3333,62.2333,7.1333,6.041606118,1.085958969,18.2,5.3,6.9333,2969,2080.6667,855.6667,1071.6667,3117.3333,1999,916,990.3333,3536.6667,63.112,,61.557,40.4667,36,3.4333,3564,1918.6667,378.3333,1693.3333,478,200.3333,748,492.3333,515457.0903,,187340.0731,,554024.1961,52302.6129,750605.173,29.969,30.121,30.925,45.256,35.59,50.284,94.727,22.009,35.878,20.894,46.693,87.371,415.599,52.962,32.708,87.151,22.495,29.007,21.103,15.274,27.337,25.271,22.798,23.293,23.128,60.2333,60.6333,64.3333,65.0333,64.0333,73.2333,62.1333,64.7333,102.0328558,122.9504339,,17.90556023,24.88869966,18.2373732,,68.966,68.328,,48.849,47.579,38.652,,37.998,30.945,5.1567,4.84,5.07,5.6933,7.37,8.81,8.0133,8.9967,1.6267,1.44,0.23,0.85,2.53,,201.106,526.8333,2006.8333,637.0118,413.8299,685.0941,526.0206,108.3697,793.4638,,25642.7,3023.87,63.03739419,22618.83,471.525619,18844.8889,6797815.48,16536.17,15.7317,241.46,,,,,2.5117,275.1647,1.7189,1.0526,90.2,,7.9,8.9,32.80422,2250408.8,45.7048,55.6017,67.2758,14.5667,40.0333,34.6333,34.4667,6.83,-0.3167,1.6733,2.8567,67.1333,81.9667,78.0667,59.0667,56.5,63.9333,64.2667,55.4667,59.1333,62.8,60.4333,5.8867,12359,34581.3333,232.0391,0.5067,369633,324387.093,1.5152,0.1264,,,199,413,558,523.3333,5011.7471,96.6503,,4.56,0.0104,6.98,5294.2,1202.9,1151039.62,261529.77,4933885.92,3781.56,859.22,440.118,99.0333,4.3453,9.8385
9/1/1977,6774.457,4231.345,202.6852,3044.9066,1130.7523,908.859,854.6316,157.9941,460.855,527.208,1.5,1747.409,4.1,1173.583,1082.1532,293.29,350.314,4863.605,30.712,30.663,,48.0656,49.4881,66.377,44.0266,25.6514,81.349,49.7806,45.2818,73.2117,23.7536,59.7896,84.0382,83.1162,83147,67803.6667,18289.6667,59989,23158,11230,7059.6667,3999.6667,6097.6667,4370.3333,2197.6667,6657,6104,2376.3333,868.6667,16842.6667,15343.3333,9418.7,4048.9333,2859,3385,9099.3333,92409,62.2333,6.9,5.943258577,0.943862322,17.6333,4.9667,6.9333,2879.3333,2130.6667,928.6667,936.6667,3094.3333,1913.6667,884,971.3333,3634.6667,63.613,,62.218,40.4,35.8667,3.4333,3766,2009,434,1713.6667,445.6667,203,817,543.3333,521278.8867,,190662.5748,,564808.0796,53377.7138,763960.077,30.42,30.622,31.351,46.141,35.979,50.807,95.711,22.431,36.251,21.287,47.153,88.376,419.202,53.61,33.036,88.504,22.465,29.416,21.531,15.534,27.776,25.543,23.204,24.171,23.355,61.0667,61.5,65.1667,65.1333,64.7667,73.8333,63.0333,65.4,103.7329512,121.6971986,,17.90651763,24.7316258,18.33095569,,69.345,68.791,,49.362,48.203,38.941,,38.333,31.558,5.82,5.4967,5.7567,6.28,7.3567,8.93,7.9467,8.83,1.4733,1.57,0.26,0.78,1.86,,203.441,527.8333,2025.0333,644.0483,425.4746,698.0383,540.1053,113.1447,811.183,,25804.95,3099.092,63.72006271,22705.86,466.8523712,18865.1394,6939807.98,16532.72,14.6532,242.93,,,,,2.3978,266.1035,1.7351,1.0698,89,,7.7,8.6,32.98791,2297304.4,46.2729,58.5032,65.878,14.0667,39.8667,35.2333,34.5333,6.97,-0.3233,1.15,2.1267,64.1,80.8667,79.1333,59,57.7333,64.6,64.6333,56.6,60.0333,63.5,61.2333,5.9967,13045,35948.3333,230.4797,0.551,365800,331261.5171,1.5221,0.1274,,,170.6667,413,584,546,5113.7938,100.7562,,4.63,0.0098,7.09,5380.36,1144.34,1169623.95,248765.39,5035089.91,3864.21,821.87,470.1715,98.06,4.5433,9.4691
12/1/1977,6774.592,4294.965,206.9305,3073.6902,1155.0211,886.06,869.2157,165.4755,474.8795,520.947,1.1,1743.244,-2.7,1188.9192,1083.7916,283.887,355.295,4956.571,30.62,30.633,,48.3722,49.8032,67.2527,44.2977,26.1321,81.4981,50.0443,44.3994,74.4449,23.8666,59.585,83.8411,83.1538,84127.6667,68622.3333,18435.3333,60787.3333,23340.3333,11344.3333,7091,4059.6667,6201.3333,4439.3333,2217.6667,6760,6197.6667,2417,845.3333,17049,15505.3333,9557.6333,4097.6667,2869.6667,3404.6667,9231,93639.3333,62.6333,6.6667,5.74897817,0.886456194,16.6333,4.8,6.7333,2845.3333,2049.3333,881,889,2926.6667,1930.3333,912.3333,891.6667,3551.6667,64.264,,62.832,40.5,35.9,3.4667,4099,2075.3333,436.3333,1761,472.3333,199.6667,843.6667,559.6667,530698.7017,,197459.8677,,583156.7192,55695.4504,772249.626,30.852,31.067,31.875,47.069,36.717,51.429,96.992,22.79,36.675,21.63,48.2,89.207,420.989,53.987,33.342,88.999,22.975,29.854,21.918,15.786,28.186,25.867,23.563,24.781,23.535,61.9667,62.3333,66.3333,65.8667,65.7333,74.4667,63.8667,66.2333,106.5369636,124.349905,,17.96116673,24.74232995,18.41181364,,69.52,68.903,,48.733,47.667,40.024,,39.499,31.458,6.5133,6.11,6.4133,6.96,7.5967,8.94,8.1033,8.9433,1.3467,1.34,0.3,0.85,1.49,,206.124,530.3333,2036.9333,653.2813,437.7512,712.3031,555.9117,118.9524,831.2555,,26063.45,3176.483,64.08630251,22886.97,461.7500707,18945.5982,7117854.96,16576.43,16.8043,248.56,,,,,2.1843,246.8233,1.8145,1.1018,84.4,,7.3,8.7,33.21873,2330296.3,46.7146,58.6733,65.0619,13.6333,39.9333,36.0333,35.1,7.38,-0.4033,0.8667,1.59,65.2667,78.7333,79.7333,59.5333,58.6667,65.4,65.2,57.5667,60.9,64.3333,62.1,6.1067,14293,37944,231.9501,0.6169,357367,338775.6492,1.5083,0.1274,,,184,399,609,569,4971.3012,101.2165,,4.67,0.0104,7.13,5455.22,1213.4,1174104.64,261154.76,5101617.78,3926.17,873.29,449.5819,93.9467,4.9106,8.8656
3/1/1978,6796.26,4319.094,201.4271,3121.6288,1159.9209,903.329,876.9007,167.8324,479.0339,525.7923,1.2,1743.682,0.3,1193.734,1083.6252,290.59,379.1,4995.434,30.78,30.67,,48.2323,50.0618,67.0591,43.8397,26.2014,82.5429,48.8507,42.153,74.9515,24.2209,60.2168,82.8849,82.5329,85000.6667,69329.6667,18643.6667,61508.6667,23492,11518.3333,7125.3333,4088.3333,6267.3333,4503,2244.3333,6832.3333,6277,2442.6667,760,17271,15671,9678.3,4151.7333,2880.3333,3442.3333,9348.3333,94552.6667,62.7667,6.3333,5.597743739,0.724571609,17.0667,4.6333,6.1,2819.6667,1965.6667,854.6667,731.3333,2728.6667,1875.6667,899.6667,911.6667,3450.6667,64.592,,63.124,39.9667,35.5667,3.5333,4322,1829.3333,411.3333,1758.3333,418.3333,127.3333,756,527.6667,529487.079,,195087.3745,,599885.6579,57504.9005,785877.295,31.358,31.5517,32.397,47.964,37.252,52.13,98.382,23.219,37.164,22.041,49.138,89.96,425.761,54.82,34.204,88.509,23.068,30.197,22.243,16.152,28.723,26.269,23.99,25.748,23.804,63.0333,63.4333,67.4333,67.4667,66.8667,76.7667,65,67.3667,108.1777697,125.6128411,,18.04439247,24.81615274,18.56217251,,70.28,69.622,,48.761,47.483,41.225,,40.523,31.096,6.7567,6.3933,6.69,7.31,8.01,9.12,8.45,9.1967,1.1867,1.11,0.3,0.92,1.62,,205.19,532.3333,2039.9,666.7769,450.0054,726.2646,571.5691,117.5816,843.8462,,26285.28,3200.263,64.06376419,23085.02,462.1224413,19038.8628,7246421.78,16642.59,15.5125,252.19,,,,,1.9314,237.7702,1.9268,1.1133,82.3,,7.5,9.2,33.5012,2353310.2,46.7797,61.0669,62.7936,12.6,39.3667,37,36.6333,7.82,-0.3633,1.0633,1.6933,68.5,79.2333,79.8333,60.2,59.8,66.4333,66.3667,58.7,61.8667,65.3,63.1667,6.2333,13513,37429,234.2324,0.6775,361083,348946.0301,1.529,0.1289,,,178,388.3333,638.6667,553.3333,5148.3508,102.4365,,4.74,0.0101,7.24,5516.75,1176.86,1191919.9,254265.69,5229380.97,4036.06,860.99,468.7695,89.35,5.3242,8.2263
6/1/1978,7058.92,4411.431,216.4424,3168.5922,1168.8354,962.001,936.7979,181.0161,516.1528,551.0339,1,1787.41,8,1259.8463,1116.142,320.884,380.28,5048.307,32.306,32.161,,50.1779,51.8614,68.6432,45.8796,27.2091,83.985,50.8287,45.0338,76.1541,25.6728,59.9971,85.5183,84.6256,86540.3333,70712.6667,18846.3333,62431,24109.3333,11684.6667,7161.6667,4329.6667,6387,4568.3333,2278.6667,6957,6376.3333,2489,933.3333,17547,15827.6667,9829.8333,4220.3,2882.6667,3479,9466,95835.3333,63.1333,6,5.337283544,0.657921174,16,4.1667,6.0333,2802.6667,1887,754,670.6667,2540.3333,1795,849.6667,878.3333,3596.6667,66.423,,64.962,40.4667,35.8333,3.5333,4664,2114,503.3333,1899,471.6667,217,874.6667,550.6667,553959.8527,,210282.1703,,628004.438,61911.4225,798789.437,32.002,32.096,33.043,48.937,37.977,53.234,99.882,23.682,38.056,22.486,49.801,91.677,431.82,55.59,35.72,89.726,23.035,30.491,22.635,16.445,29.058,26.717,24.624,26.614,24.23,64.4667,64.7333,69.1333,69.5,68.7,79.6667,66.4,68.6667,112.1600521,125.8709879,,18.14346663,24.97686259,18.58999452,,69.964,69.274,,49.731,48.418,41.1,,40.413,32.741,7.2833,6.4767,6.9933,7.7867,8.32,9.55,8.67,9.47,1.15,1.23,0.52,1.31,1.84,,205.325,533.4333,2031.8,686.3281,464.476,747.9839,588.7303,122.7891,870.773,,26767.32,3302.922,65.42633961,23464.4,464.7974172,19313.8958,7453427.22,16882.59,18.4021,257.85,,,,,1.9186,220.714,1.835,1.1274,81.5,,8,9,32.12444,2340553.7,48.3878,59.5307,64.8277,12.1667,40.0667,37.1333,36.1667,8.1733,-0.8067,0.89,1.3867,73.1667,80.0667,81.2,60.7333,61.1,68,67.9667,60.0333,63.0333,66.7333,64.6333,6.3967,14405.3333,38989.3333,237.802,0.7632,325750,361129.7048,1.4739,0.1306,,,193.3333,395.3333,687.6667,622.6667,5488.0151,117.4895,,4.73,0.01,7.34,5646.11,1189.71,1217410.54,256524.13,5329367.78,4110.5,866.14,474.5794,95.9267,5.0825,8.5737
9/1/1978,7129.915,4429.955,213.5369,3191.3775,1177.891,990.029,962.2452,184.5469,533.6682,557.5442,1,1803.917,2.6,1296.7109,1129.0538,324.405,385.238,5087.571,32.6,32.516,,50.6132,52.3678,68.3605,46.2715,27.8022,83.2245,50.5508,44.9743,75.8906,26.6064,60.4437,85.5628,84.7345,87436,71565.6667,19008.3333,63063.3333,24372.6667,11843,7165.3333,4415.6667,6489,4632.6667,2294,7055.6667,6458,2528.6667,948.6667,17735,15870.3333,9956.1,4278.5667,2900.6667,3477.3333,9492.3333,96397,63.2333,6.0333,5.401365963,0.615542306,16.2,4.1,6.1333,2956,1906,676.3333,631.3333,2497.3333,1899,874.3333,882.3333,3577.3333,66.971,,65.512,40.5333,35.8,3.5667,4728,2019.3333,470.3333,1742.6667,433,216.6667,823,546.6667,555615.67,,212354.7467,,657447.9242,65308.4632,805892.844,32.564,32.6467,33.626,49.902,38.616,54.105,101.5,24.123,38.681,22.897,50.857,93.024,433.704,56.795,36.469,89.799,23.507,31.063,22.963,16.828,29.571,27.141,25.314,26.867,24.704,65.9667,66.1333,70.6,70.6,70.1333,80.5,67.6667,69.9333,113.9461793,126.8120847,,18.1641564,25.05599123,18.68478085,,70.035,69.378,,49.762,48.552,41.788,,41.158,33.385,8.1,7.3133,7.6,8.4467,8.49,9.76,8.7533,9.5,1.01,1.27,0.29,1.13,1.18,,205.716,530.2667,2022.5333,699.489,482.2727,766.0366,606.9186,130.2011,896.2377,,27215.96,3392.884,66.68967355,23823.07,468.2602176,19607.336,7608619.47,17142.59,17.0821,260.94,,,,,1.6803,192.7749,1.9317,1.1438,80.4,,8,9,32.21407,2369315.8,48.8811,59.4309,66.1483,11.6,40.1,37.8667,36.6667,8.4333,-0.7867,0.3333,0.6533,74.3333,83.2667,81.7,62.0667,62.3667,69.5,69.2333,61.5333,64.4667,68,66.1333,6.5433,15657,41296.6667,236.9881,0.7664,340517,372163.8538,1.4911,0.1321,,,207.6667,392.6667,648.3333,494,5592.8127,130.0871,,4.73,0.0097,7.45,5797.26,1186.31,1243999.9,254564.2,5427421.28,4181.89,855.76,488.6783,101.6633,4.9058,8.8641
12/1/1978,7225.75,4465.702,215.2475,3208.1617,1193.0127,1012.924,983.5076,189.5084,550.9036,556.7475,1.2,1820.148,3.4,1330.5036,1139.752,337.281,390.525,5121.04,33.211,32.996,,51.5013,53.2192,68.4844,47.1418,28.6718,84.2091,50.5778,45.0489,76.0798,27.898,61.9713,86.3582,85.6681,88339.3333,72451.6667,19244.3333,63678,24661.3333,12042.3333,7202,4450,6563,4693,2329.6667,7143.3333,6528.3333,2557.6667,967,17975.3333,15887.6667,10062.8333,4343.3333,2911,3494,9482.6667,97399.6667,63.4667,5.9,5.350873851,0.528048707,16.3667,4.1,5.7667,2889,1906,730.3333,546.3333,2507.6667,1858.6667,878.3333,869.6667,3415.6667,67.699,,66.304,40.5333,35.7333,3.6667,4942,2039.6667,451,1798,457,204.3333,815.3333,563,564764.3217,,221644.8253,,699461.4202,68103.1911,820951.567,33.179,33.2327,34.291,50.92,39.444,55.035,103.276,24.615,39.343,23.373,51.833,94.823,437.969,57.942,37.019,90.156,24.641,31.491,23.42,17.285,30.064,27.629,25.908,27.502,25.036,67.5,67.6,72.0667,72.2,71.6667,82.7333,69.1667,71.8667,116.2445049,127.1826516,,18.22493548,24.99542546,18.82661494,,70.398,69.772,,50.089,48.74,42.685,,41.907,34.146,9.5833,8.57,9.05,9.8167,8.82,10.1,9.0267,9.7867,0.9667,1.28,0.48,1.25,0.25,,208.873,526.4,2013.5667,708.0988,492.018,774.7892,624.4298,135.5824,910.3716,,27413.19,3461.012,67.58415566,23952.18,467.721011,19657.3135,7755878.19,17158.37,22.9806,263.2,,,,,1.6291,190.5762,1.9848,1.1786,73.5,,8.3,9,31.86206,2378634.1,49.873,59.7076,69.4632,11.1333,40.1667,39.9,38.9333,8.8433,-1.0133,-0.74,-0.5567,77.4667,87.8333,82.5333,63.9,63.7333,71.1,70.6667,63,66.0333,69.3667,67.6667,6.7,16588.6667,43450.6667,239.1148,0.8126,338117,385620.4498,1.4877,0.1323,,,198.6667,372.6667,702.3333,524.3333,5922.6067,119.8484,,4.81,0.0098,7.55,5926.56,1202.15,1261137.31,255810,5504411.32,4241.57,860.36,492.9977,97.14,5.2058,8.2956
